#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Oryzias latipes","Eukaryota;Animals;Fishes","Hd-rR","SAMN06689957","PRJNA325079","GCA_004347445.1"," Chromosome",789.72,40.9358,"chromosome 1:CM014807.1; chromosome 2:CM014808.1; chromosome 3:CM014809.1; chromosome 4:CM014810.1; chromosome 5:CM014811.1; chromosome 6:CM014812.1; chromosome 7:CM014813.1; chromosome 8:CM014814.1; chromosome 9:CM014815.1; chromosome 10:CM014816.1; chromosome 11:CM014817.1; chromosome 12:CM014818.1; chromosome 13:CM014819.1; chromosome 14:CM014820.1; chromosome 15:CM014821.1; chromosome 16:CM014822.1; chromosome 17:CM014823.1; chromosome 18:CM014824.1; chromosome 19:CM014825.1; chromosome 20:CM014826.1; chromosome 21:CM014827.1; chromosome 22:CM014828.1; chromosome 23:CM014829.1; chromosome 24:CM014830.1; mitochondrion MT:CM014831.1","RXZX01",1141,0,"2019-02-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/347/445/GCA_004347445.1_ASM434744v1",
"Fusarium oxysporum f. sp. lycopersici 4287","Eukaryota;Fungi;Ascomycetes","4287","SAMN08942773","PRJNA450629","GCA_003315725.1"," Chromosome",53.919,47.6858,"chromosome 1:CM010335.1; chromosome 2:CM010336.1; chromosome 4:CM010337.1; chromosome 5:CM010338.1; chromosome 7:CM010339.1; chromosome 8:CM010340.1; chromosome 9:CM010341.1; chromosome 10:CM010342.1; chromosome 11:CM010343.1; chromosome 12:CM010344.1; chromosome 13:CM010345.1; mitochondrion MT:CM010346.1","QESU01",499,0,"2018-07-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/315/725/GCA_003315725.1_ASM331572v1",
"Verticillium dahliae","Eukaryota;Fungi;Ascomycetes","Gwydir1A3","SAMN08984993","PRJNA453648","GCA_003320035.1"," Chromosome",31.9693,55.6204,"chromosome 1:CM010347.1; chromosome 2:CM010348.1; chromosome 3:CM010349.1; chromosome 4:CM010350.1; chromosome 5:CM010351.1; chromosome 6:CM010352.1; chromosome 7:CM010353.1; chromosome 8:CM010354.1","QEPA01",163,10457,"2018-07-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/320/035/GCA_003320035.1_VdGwydir1A3",
"Solenopsis invicta","Eukaryota;Animals;Insects","BigB_t4","SAMN11869237","PRJNA545027","GCA_009299965.1"," Chromosome",349.309,36.2688,"chromosome 1:CM018648.1; chromosome 2:CM018649.1; chromosome 3:CM018650.1; chromosome 4:CM018651.1; chromosome 5:CM018652.1; chromosome 6:CM018653.1; chromosome 7:CM018654.1; chromosome 8:CM018655.1; chromosome 9:CM018656.1; chromosome 10:CM018657.1; chromosome 11:CM018658.1; chromosome 12:CM018659.1; chromosome 13:CM018660.1; chromosome 14:CM018661.1; chromosome 15:CM018662.1; chromosome 16:CM018663.1","VDGJ01",2235,0,"2019-10-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/299/965/GCA_009299965.1_ASM929996v1",
"Bipolaris sorokiniana","Eukaryota;Fungi;Ascomycetes","WAI2411","SAMN10410789","PRJNA505097","GCA_008452715.1"," Chromosome",36.2414,49.4688,"chromosome 1:CM017972.1; chromosome 3:CM017973.1; chromosome 4:CM017974.1; chromosome 5:CM017975.1; chromosome 7:CM017976.1; chromosome 8:CM017977.1; chromosome 9:CM017978.1; chromosome 10:CM017979.1; chromosome 11:CM017980.1; chromosome 12:CM017981.1; chromosome 13:CM017982.1; chromosome 14:CM017983.1; chromosome 15:CM017984.1; chromosome 16:CM017985.1","SRZE01",21,0,"2019-09-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/452/715/GCA_008452715.1_ASM845271v1",
"Leishmania donovani","Eukaryota;Protists;Kinetoplasts","MHOM/IN/1983/AG83","SAMN04145466","PRJNA297706","GCA_001989955.1"," Chromosome",32.1484,58.2148,"chromosome 1:CP019527.1; chromosome 2:CP019538.1; chromosome 3:CP019546.1; chromosome 4:CP019547.1; chromosome 5:CP019548.1; chromosome 6:CP019549.1; chromosome 7:CP019550.1; chromosome 8:CP019551.1; chromosome 9:CP019552.1; chromosome 10:CP019517.1; chromosome 11:CP019518.1; chromosome 12:CP019519.1; chromosome 13:CP019520.1; chromosome 14:CP019521.1; chromosome 15:CP019522.1; chromosome 16:CP019523.1; chromosome 17:CP019524.1; chromosome 18:CP019525.1; chromosome 19:CP019526.1; chromosome 20:CP019528.1; chromosome 21:CP019529.1; chromosome 22:CP019530.1; chromosome 23:CP019531.1; chromosome 24:CP019532.1; chromosome 25:CP019533.1; chromosome 26:CP019534.1; chromosome 27:CP019535.1; chromosome 28:CP019536.1; chromosome 29:CP019537.1; chromosome 30:CP019539.1; chromosome 31:CP019540.1; chromosome 32:CP019541.1; chromosome 33:CP019542.1; chromosome 34:CP019543.1; chromosome 35:CP019544.1; chromosome 36:CP019545.1",,36,0,"2017-02-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/989/955/GCA_001989955.1_ASM198995v1",
"Kluyveromyces marxianus","Eukaryota;Fungi;Ascomycetes","B0399","SAMN04958224","PRJNA320854","GCA_001660455.1"," Chromosome",11.5379,40.85,"chromosome 1:CM004405.1; chromosome MT:CM004413.1; chromosome 2:CM004406.1; chromosome 3:CM004407.1; chromosome 4:CM004408.1; chromosome 5:CM004409.1; chromosome 6:CM004410.1; chromosome 7:CM004411.1; chromosome 8:CM004412.1","LXZY01",109,0,"2016-06-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/660/455/GCA_001660455.1_run3",
"Larimichthys crocea","Eukaryota;Animals;Fishes","","SAMEA104455074","PRJEB24300","GCA_900246015.1"," Chromosome",689.173,41.3888,"chromosome I:LT972175.1; chromosome II:LT972186.1; chromosome III:LT972192.1; chromosome IV:LT972193.1; chromosome V:LT972194.1; chromosome VI:LT972195.1; chromosome VII:LT972196.1; chromosome VIII:LT972197.1; chromosome IX:LT972198.1; chromosome X:LT972176.1; chromosome XI:LT972177.1; chromosome XII:LT972178.1; chromosome XIII:LT972179.1; chromosome XIV:LT972180.1; chromosome XV:LT972181.1; chromosome XVI:LT972182.1; chromosome XVII:LT972183.1; chromosome XVIII:LT972184.1; chromosome XIX:LT972185.1; chromosome XX:LT972187.1; chromosome XXI:LT972188.1; chromosome XXII:LT972189.1; chromosome XXIII:LT972190.1; chromosome XXIV:LT972191.1","OFHX01",599,0,"2018-01-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/246/015/GCA_900246015.1_Larimichthys_crocea_chromosome_1.0",
"Plasmodium vinckei brucechwatti","Eukaryota;Protists;Apicomplexans","1-69","SAMEA1712520","PRJEB1062","GCA_900617815.1"," Chromosome",19.8653,23.6864,"chromosome 1:LR129728.1; chromosome 2:LR129729.1; chromosome 3:LR129730.1; chromosome 4:LR129731.1; chromosome 5:LR129732.1; chromosome 6:LR129733.1; chromosome 7:LR129734.1; chromosome 8:LR129735.1; chromosome 9:LR129736.1; chromosome 10:LR129737.1; chromosome 11:LR129738.1; chromosome 12:LR129739.1; chromosome 13:LR129740.1; chromosome 14:LR129741.1","UYHV01",1015,0,"2018-11-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/617/815/GCA_900617815.1_Pvb1-69-2",
"Plasmodium sp. DRC-Itaito","Eukaryota;Protists;Apicomplexans","","SAMEA104452070","PRJEB13584","GCA_900257145.1"," Chromosome",23.1142,21.0469,"chromosome 1:LT990230.1; chromosome 2:LT990231.1; chromosome 3:LT990232.1; chromosome 4:LT990233.1; chromosome 5:LT990234.1; chromosome 6:LT990235.1; chromosome 7:LT990236.1; chromosome 8:LT990237.1; chromosome 9:LT990238.1; chromosome 10:LT990239.1; chromosome 11:LT990240.1; chromosome 12:LT990241.1; chromosome 13:LT990242.1; chromosome 14:LT990243.1","OMPV01",89,5313,"2018-03-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/257/145/GCA_900257145.1_Plasmodium_billcollinsi",
"Komagataella phaffii GS115","Eukaryota;Fungi;Ascomycetes","GS115","SAMN04311980","PRJNA304976","GCA_001746955.1"," Chromosome",9.46276,41.2113,"chromosome 1:CP014715.1; chromosome 2:CP014716.1; chromosome 3:CP014717.1; chromosome 4:CP014718.1",,10,5064,"2016-08-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/746/955/GCA_001746955.1_ASM174695v1",
"Leishmania donovani","Eukaryota;Protists;Kinetoplasts","BHU 1220","SAMN01974509","PRJNA192928","GCA_000470725.1"," Chromosome",32.4149,59.0361,"chromosome 1:CM002141.1; chromosome 2:CM002142.1; chromosome 3:CM002143.1; chromosome 4:CM002144.1; chromosome 5:CM002145.1; chromosome 6:CM002146.1; chromosome 7:CM002147.1; chromosome 8:CM002148.1; chromosome 9:CM002149.1; chromosome 10:CM002150.1; chromosome 11:CM002151.1; chromosome 12:CM002152.1; chromosome 13:CM002153.1; chromosome 14:CM002154.1; chromosome 15:CM002155.1; chromosome 16:CM002156.1; chromosome 17:CM002157.1; chromosome 18:CM002158.1; chromosome 19:CM002159.1; chromosome 20:CM002160.1; chromosome 21:CM002161.1; chromosome 22:CM002162.1; chromosome 23:CM002163.1; chromosome 24:CM002164.1; chromosome 25:CM002165.1; chromosome 26:CM002166.1; chromosome 27:CM002167.1; chromosome 28:CM002168.1; chromosome 29:CM002169.1; chromosome 30:CM002170.1; chromosome 31:CM002171.1; chromosome 32:CM002172.1; chromosome 33:CM002173.1; chromosome 34:CM002174.1; chromosome 35:CM002175.1; chromosome 36:CM002176.1","AVPQ01",36,0,"2013-09-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/470/725/GCA_000470725.1_BHU1220",
"Oryzias latipes","Eukaryota;Animals;Fishes","HNI","SAMN06689975","PRJNA325193","GCA_004348135.1"," Chromosome",749.06,40.8174,"chromosome 1:CM014856.1; chromosome 2:CM014857.1; chromosome 3:CM014858.1; chromosome 4:CM014859.1; chromosome 5:CM014860.1; chromosome 6:CM014861.1; chromosome 7:CM014862.1; chromosome 8:CM014863.1; chromosome 9:CM014864.1; chromosome 10:CM014865.1; chromosome 11:CM014866.1; chromosome 12:CM014867.1; chromosome 13:CM014868.1; chromosome 14:CM014869.1; chromosome 15:CM014870.1; chromosome 16:CM014871.1; chromosome 17:CM014872.1; chromosome 18:CM014873.1; chromosome 19:CM014874.1; chromosome 20:CM014875.1; chromosome 21:CM014876.1; chromosome 22:CM014877.1; chromosome 23:CM014878.1; chromosome 24:CM014879.1","RXZZ01",2191,0,"2019-02-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/348/135/GCA_004348135.1_ASM434813v1",
"Zymoseptoria tritici STIR04_A26b","Eukaryota;Fungi;Ascomycetes","Zt10","SAMN02981321","PRJNA414407","GCA_002937415.1"," Chromosome",39.329,51.7356,"chromosome 1:CM009521.1; chromosome 2:CM009522.1; chromosome 3:CM009523.1; chromosome 4:CM009524.1; chromosome 5:CM009525.1; chromosome 6:CM009526.1; chromosome 7:CM009527.1; chromosome 8:CM009528.1; chromosome 9:CM009529.1; chromosome 10:CM009530.1; chromosome 11:CM009531.1; chromosome 12:CM009532.1; chromosome 13:CM009533.1; chromosome 14:CM009534.1; chromosome 15:CM009535.1; chromosome 16:CM009536.1; chromosome 17:CM009537.1; chromosome 19:CM009538.1","PEBO01",22,0,"2018-02-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/937/415/GCA_002937415.1_ASM293741v1",
"Taeniopygia guttata","Eukaryota;Animals;Birds","Black17","SAMN02981239","PRJNA17289","GCA_000151805.2"," Chromosome",1232.14,41.1172,"chromosome 1:CM000515.1; chromosome 1A:CM000516.1; chromosome 1B:CM000517.1; chromosome 2:CM000518.1; chromosome 3:CM000519.1; chromosome 4:CM000520.1; chromosome 4A:CM000521.1; chromosome 5:CM000522.1; chromosome 6:CM000523.1; chromosome 7:CM000524.1; chromosome 8:CM000525.1; chromosome 9:CM000526.1; chromosome 10:CM000527.1; chromosome 11:CM000528.1; chromosome 12:CM000529.1; chromosome 13:CM000530.1; chromosome 14:CM000531.1; chromosome 15:CM000532.1; chromosome 16:CM000533.1; chromosome 17:CM000534.1; chromosome 18:CM000535.1; chromosome 19:CM000536.1; chromosome 20:CM000537.1; chromosome 21:CM000538.1; chromosome 22:CM000539.1; chromosome 23:CM000540.1; chromosome 24:CM000541.1; chromosome 25:CM000542.1; chromosome 26:CM000543.1; chromosome 27:CM000544.1; chromosome 28:CM000545.1; chromosome LGE22:CM000549.1; chromosome LG2:CM000547.1; chromosome LG5:CM000548.1; chromosome Z:CM000546.1","ABQF01",37422,0,"2008-09-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/805/GCA_000151805.2_Taeniopygia_guttata-3.2.4","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/805/GCF_000151805.1_Taeniopygia_guttata-3.2.4"
"Canis lupus","Eukaryota;Animals;Mammals","","SAMEA6249996","PRJEB31489","GCA_902725025.1"," Chromosome",0.016129,39.4,"chromosome 1:LR745185.1",,1,0,"2020-01-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/725/025/GCA_902725025.1_U.Arizona-2",
"Aspergillus flavus","Eukaryota;Fungi;Ascomycetes","A1","SAMN14350204","PRJNA607981","GCA_012896995.1"," Chromosome",37.2545,47.962,"chromosome 1:CP051059.1; chromosome 2:CP051060.1; chromosome 3:CP051061.1; chromosome 4:CP051062.1; chromosome 5:CP051063.1; chromosome 6:CP051064.1; chromosome 7:CP051065.1; chromosome 8:CP051066.1",,8,0,"2020-04-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/896/995/GCA_012896995.1_ASM1289699v1",
"Yarrowia lipolytica","Eukaryota;Fungi;Ascomycetes","W29 (CLIB89)","SAMN08667772","PRJNA437435","GCA_003054345.1"," Chromosome",20.1211,49.105,"chromosome A:CP028448.1; chromosome B:CP028449.1; chromosome C:CP028450.1; chromosome D:CP028451.1; chromosome E:CP028452.1; chromosome F:CP028453.1",,6,0,"2018-04-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/054/345/GCA_003054345.1_ASM305434v1",
"Canis lupus familiaris","Eukaryota;Animals;Mammals","","SAMN02953603","PRJNA13179","GCA_000002285.2"," Chromosome",2410.98,41.3022,"chromosome 1:NC_006583.3/CM000001.3; chromosome 2:NC_006584.3/CM000002.3; chromosome 3:NC_006585.3/CM000003.3; chromosome 4:NC_006586.3/CM000004.3; chromosome 5:NC_006587.3/CM000005.3; chromosome 6:NC_006588.3/CM000006.3; chromosome 7:NC_006589.3/CM000007.3; chromosome 8:NC_006590.3/CM000008.3; chromosome 9:NC_006591.3/CM000009.3; chromosome 10:NC_006592.3/CM000010.3; chromosome 11:NC_006593.3/CM000011.3; chromosome 12:NC_006594.3/CM000012.3; chromosome 13:NC_006595.3/CM000013.3; chromosome 14:NC_006596.3/CM000014.3; chromosome 15:NC_006597.3/CM000015.3; chromosome 16:NC_006598.3/CM000016.3; chromosome 17:NC_006599.3/CM000017.3; chromosome 18:NC_006600.3/CM000018.3; chromosome 19:NC_006601.3/CM000019.3; chromosome 20:NC_006602.3/CM000020.3; chromosome 21:NC_006603.3/CM000021.3; chromosome 22:NC_006604.3/CM000022.3; chromosome 23:NC_006605.3/CM000023.3; chromosome 24:NC_006606.3/CM000024.3; chromosome 25:NC_006607.3/CM000025.3; chromosome 26:NC_006608.3/CM000026.3; chromosome 27:NC_006609.3/CM000027.3; chromosome 28:NC_006610.3/CM000028.3; chromosome 29:NC_006611.3/CM000029.3; chromosome 30:NC_006612.3/CM000030.3; chromosome 31:NC_006613.3/CM000031.3; chromosome 32:NC_006614.3/CM000032.3; chromosome 33:NC_006615.3/CM000033.3; chromosome 34:NC_006616.3/CM000034.3; chromosome 35:NC_006617.3/CM000035.3; chromosome 36:NC_006618.3/CM000036.3; chromosome 37:NC_006619.3/CM000037.3; chromosome 38:NC_006620.3/CM000038.3; chromosome X:NC_006621.3/CM000039.3; mitochondrion MT:NC_002008.4/","AAEX03",3310,58776,"2004-07-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/285/GCA_000002285.2_CanFam3.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/285/GCF_000002285.3_CanFam3.1"
"Plasmodium yoelii","Eukaryota;Protists;Apicomplexans","3AE","SAMEA1712522","PRJEB1062","GCA_900617885.1"," Chromosome",22.8092,21.713,"chromosome 1:LR129826.1; chromosome 2:LR129827.1; chromosome 3:LR129828.1; chromosome 4:LR129829.1; chromosome 5:LR129830.1; chromosome 6:LR129831.1; chromosome 7:LR129832.1; chromosome 8:LR129833.1; chromosome 9:LR129834.1; chromosome 10:LR129835.1; chromosome 11:LR129836.1; chromosome 12:LR129837.1; chromosome 13:LR129838.1; chromosome 14:LR129839.1","UYID01",3182,0,"2018-11-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/617/885/GCA_900617885.1_Pyy3AE-2",
"Cryptococcus neoformans var. grubii","Eukaryota;Fungi;Basidiomycetes","PMHc1023.ENR","SAMN10848925","PRJNA517966","GCA_010065295.1"," Chromosome",18.8901,48.1731,"chromosome 1:CM021034.1; chromosome 2:CM021035.1; chromosome 4:CM021036.1; chromosome 5:CM021037.1; chromosome 6:CM021038.1; chromosome 8:CM021039.1; chromosome 9:CM021040.1; chromosome 10:CM021041.1; chromosome 12:CM021042.1; chromosome 13:CM021043.1; chromosome 14:CM021044.1; chromosome (11;3):CM021045.1; chromosome (3;11):CM021046.1","JAACIS01",15,0,"2020-01-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/065/295/GCA_010065295.1_BROAD_CneoA_PMHc1023.Enr_1",
"Mus musculus","Eukaryota;Animals;Mammals","FVB/NJ","SAMN04489825","PRJNA310854","GCA_001624535.1"," Chromosome",2588.62,42.4778,"chromosome 1:CM004074.1; chromosome 2:CM004075.1; chromosome 3:CM004076.1; chromosome 4:CM004077.1; chromosome 5:CM004078.1; chromosome 6:CM004079.1; chromosome 7:CM004080.1; chromosome 8:CM004081.1; chromosome 9:CM004082.1; chromosome 10:CM004083.1; chromosome 11:CM004084.1; chromosome 12:CM004085.1; chromosome 13:CM004086.1; chromosome 14:CM004087.1; chromosome 15:CM004088.1; chromosome 16:CM004089.1; chromosome 17:CM004090.1; chromosome 18:CM004091.1; chromosome 19:CM004092.1; chromosome X:CM004093.1; mitochondrion MT:CM004184.1","LVXQ01",5013,0,"2016-04-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/624/535/GCA_001624535.1_FVB_NJ_v1",
"Homo sapiens","Eukaryota;Animals;Mammals","HG00733","SAMN10182268","PRJNA483067","GCA_003634875.1"," Chromosome",5786.5,40.9516,"chromosome 1:CM010831.1; chromosome 1:CM010808.1; chromosome 2:CM010809.1; chromosome 2:CM010832.1; chromosome 3:CM010833.1; chromosome 3:CM010810.1; chromosome 4:CM010811.1; chromosome 4:CM010834.1; chromosome 5:CM010812.1; chromosome 5:CM010835.1; chromosome 6:CM010813.1; chromosome 6:CM010836.1; chromosome 7:CM010837.1; chromosome 7:CM010814.1; chromosome 8:CM010838.1; chromosome 8:CM010815.1; chromosome 9:CM010839.1; chromosome 9:CM010816.1; chromosome 10:CM010817.1; chromosome 10:CM010840.1; chromosome 11:CM010818.1; chromosome 11:CM010841.1; chromosome 12:CM010819.1; chromosome 12:CM010842.1; chromosome 13:CM010843.1; chromosome 13:CM010820.1; chromosome 14:CM010844.1; chromosome 14:CM010821.1; chromosome 15:CM010845.1; chromosome 15:CM010822.1; chromosome 16:CM010846.1; chromosome 16:CM010823.1; chromosome 17:CM010847.1; chromosome 17:CM010824.1; chromosome 18:CM010848.1; chromosome 18:CM010825.1; chromosome 19:CM010826.1; chromosome 19:CM010849.1; chromosome 20:CM010827.1; chromosome 20:CM010850.1; chromosome 21:CM010851.1; chromosome 21:CM010828.1; chromosome 22:CM010852.1; chromosome 22:CM010829.1; chromosome X:CM010853.1; chromosome X:CM010830.1","RBJD01",566,0,"2018-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/634/875/GCA_003634875.1_HG00733_Phased_Diploid",
"Drosophila melanogaster","Eukaryota;Animals;Insects","B1","SAMN08026575","PRJNA418342","GCA_003401925.1"," Chromosome",135.977,42.0569,"chromosome X:CM010583.1; chromosome 2L:CM010584.1; chromosome 2R:CM010585.1; chromosome 3L:CM010586.1; chromosome 3R:CM010587.1; chromosome 4:CM010588.1; mitochondrion MT:CM010589.1","PGRR01",39,0,"2018-08-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/401/925/GCA_003401925.1_ASM340192v1",
"Plasmodium falciparum","Eukaryota;Protists;Apicomplexans","","SAMEA3403285","PRJEB8808","GCA_900632005.1"," Chromosome",23.1471,19.3098,"chromosome 1:LR131386.1; chromosome 2:LR131387.1; chromosome 3:LR131388.1; chromosome 4:LR131389.1; chromosome 5:LR131390.1; chromosome 6:LR131391.1; chromosome 7:LR131392.1; chromosome 8:LR131393.1; chromosome 9:LR131394.1; chromosome 10:LR131395.1; chromosome 11:LR131396.1; chromosome 12:LR131397.1; chromosome 13:LR131398.1; chromosome 14:LR131399.1; mitochondrion 15:LR131400.1; apicoplast 16:LR131401.1","UZWK01",20,0,"2018-12-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/632/005/GCA_900632005.1_PfGA01-3",
"Candida albicans","Eukaryota;Fungi;Ascomycetes","NCYC 4145","SAMN11464300","PRJNA543142","GCA_005890775.1"," Chromosome",15.4549,33.6669,"chromosome 1:CM016754.1; chromosome 2:CM016755.1; chromosome 3:CM016756.1; chromosome 4:CM016757.1; chromosome 5:CM016758.1; chromosome 6:CM016759.1; chromosome 7:CM016760.1; chromosome R:CM016761.1","VBUX01",8,0,"2019-05-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/890/775/GCA_005890775.1_ASM589077v1",
"Saccharomyces cerevisiae YJM993","Eukaryota;Fungi;Ascomycetes","YJM993","SAMN01923145","PRJNA189879","GCA_000662435.2"," Chromosome",12.4989,38.5256,"chromosome I:CP004442.2; chromosome II:CP004601.2; chromosome III:CP006363.1; chromosome IV:CP004692.2; chromosome V:CP004786.2; chromosome VI:CP004922.2; chromosome VII:CP005226.2; chromosome VIII:CP006151.2; chromosome IX:CP005014.2; chromosome X:CP005109.1; chromosome XI:CP005323.2; chromosome XII:CP006467.1; chromosome XIII:CP005424.2; chromosome XIV:CP005526.2; chromosome XV:CP005620.2; chromosome XVI:CP006243.1; plasmid 2 micron:CP004528.1; mitochondrion MT:CP006506.1",,18,5470,"2014-05-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/662/435/GCA_000662435.2_Sc_YJM993_v1",
"Zea mays","Eukaryota;Plants;Land Plants","","SAMEA5313320","PRJEB31061","GCA_902166965.1"," Chromosome",2138.71,46.8362,"chromosome 1:LR608433.1; chromosome 2:LR608434.1; chromosome 3:LR608435.1; chromosome 4:LR608436.1; chromosome 5:LR608437.1; chromosome 6:LR608438.1; chromosome 7:LR608439.1; chromosome 8:LR608440.1; chromosome 9:LR608441.1; chromosome 10:LR608442.1","CABHKT01",413,0,"2020-01-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/166/965/GCA_902166965.1_Zm-P39-REFERENCE-NAM-1.0",
"Oryza sativa Indica Group","Eukaryota;Plants;Land Plants","","SAMN12721963","PRJNA564763","GCA_009831025.1"," Chromosome",392.847,43.6492,"chromosome 1:CM020670.1; chromosome 2:CM020671.1; chromosome 3:CM020672.1; chromosome 4:CM020673.1; chromosome 5:CM020674.1; chromosome 6:CM020675.1; chromosome 7:CM020676.1; chromosome 8:CM020677.1; chromosome 9:CM020678.1; chromosome 10:CM020679.1; chromosome 11:CM020680.1; chromosome 12:CM020681.1","VXJI01",28,0,"2020-01-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/831/025/GCA_009831025.1_Os132424RS1",
"Arabidopsis thaliana","Eukaryota;Plants;Land Plants","","SAMEA5751958","PRJEB31147","GCA_902460265.3"," Chromosome",120.13,36.121,"chromosome 1:LR699745.2; chromosome 2:LR699746.2; chromosome 3:LR699747.2; chromosome 4:LR699748.2; chromosome 5:LR699749.2","CABPTH03",111,0,"2019-08-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/460/265/GCA_902460265.3_Arabidopsis_thaliana_An-1_chrom",
"Arabidopsis thaliana","Eukaryota;Plants;Land Plants","","SAMEA5751960","PRJEB31147","GCA_902460275.1"," Chromosome",119.75,36.0698,"chromosome 1:LR699760.1; chromosome 2:LR699761.1; chromosome 3:LR699762.1; chromosome 4:LR699763.1; chromosome 5:LR699764.1","CABPTK01",102,0,"2019-08-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/460/275/GCA_902460275.1_Arabidopsis_thaliana_Cvi-0",
"Oryza sativa aus subgroup","Eukaryota;Plants;Land Plants","","SAMN12748600","PRJNA565483","GCA_009831335.1"," Chromosome",384.204,43.5043,"chromosome 1:CM020730.1; chromosome 2:CM020731.1; chromosome 3:CM020732.1; chromosome 4:CM020733.1; chromosome 5:CM020734.1; chromosome 6:CM020735.1; chromosome 7:CM020736.1; chromosome 8:CM020737.1; chromosome 9:CM020738.1; chromosome 10:CM020739.1; chromosome 11:CM020740.1; chromosome 12:CM020741.1","VYIG01",23,0,"2020-01-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/831/335/GCA_009831335.1_Os127652RS1",
"Zea mays","Eukaryota;Plants;Land Plants","","SAMEA5313315","PRJEB31061","GCA_902167375.1"," Chromosome",2214.05,46.7511,"chromosome 1:LR633933.1; chromosome 2:LR633934.1; chromosome 3:LR633935.1; chromosome 4:LR633936.1; chromosome 5:LR633937.1; chromosome 6:LR633938.1; chromosome 7:LR633939.1; chromosome 8:LR633940.1; chromosome 9:LR633941.1; chromosome 10:LR633942.1","CABHMA01",1012,0,"2020-01-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/167/375/GCA_902167375.1_Zm-Ms71-REFERENCE-NAM-1.0",
